mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_most_bpka,cx_logp,cx_logd,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,PCT_IHB_3D7,pXC50_3D7
316.33,4.91,2.0,1.0,24.92,4.0,0.0,7.53,4.49,4.15,352.79,3.0,23.0,0.74,316.1187,2.0,1.0,0.0,-1.24,87.0,5.89672
421.5,5.5,3.0,3.0,86.46,6.0,1.0,6.62,4.72,4.65,421.5,5.0,32.0,0.34,421.1903,6.0,3.0,1.0,-1.16,100.0,6.38676
332.4,3.99,5.0,0.0,65.74,7.0,0.0,8.31,3.65,3.65,332.4,2.0,24.0,0.57,332.1624,5.0,0.0,0.0,0.87,81.0,5.99761
334.42,4.25,3.0,2.0,62.22,5.0,0.0,4.45,4.21,4.18,334.42,3.0,25.0,0.73,334.1681,4.0,2.0,0.0,-1.01,88.0,6.01917
419.53,3.44,6.0,3.0,88.17,12.0,0.0,7.96,3.19,2.54,533.55,3.0,31.0,0.39,419.2321,7.0,3.0,0.0,-1.37,99.0,5.90873
497.48,7.43,3.0,3.0,93.6,4.0,1.0,4.93,6.81,6.81,497.48,5.0,37.0,0.24,497.1463,6.0,3.0,1.0,-1.66,100.0,6.83993
417.47,4.59,6.0,1.0,74.09,6.0,0.0,5.41,3.92,3.92,417.47,4.0,31.0,0.5,417.1689,7.0,1.0,0.0,-1.59,97.0,6.11836
721.79,7.74,6.0,1.0,65.78,11.0,2.0,8.31,7.43,6.47,721.79,5.0,51.0,0.11,721.2398,6.0,1.0,2.0,-1.39,89.0,5.90263
335.79,3.68,4.0,1.0,56.79,6.0,0.0,8.31,3.53,3.53,335.79,2.0,23.0,0.87,335.0924,5.0,1.0,0.0,-1.56,86.0,6.16244
599.66,6.41,8.0,2.0,102.38,12.0,2.0,8.7,4.79,4.46,599.66,5.0,44.0,0.13,599.2432,9.0,2.0,2.0,-1.12,94.0,6.0501
349.14,5.66,1.0,2.0,41.13,2.0,1.0,8.31,5.2,5.2,349.14,2.0,22.0,0.72,348.0044,3.0,2.0,1.0,-1.92,100.0,6.13356
568.63,7.87,3.0,3.0,53.16,17.0,2.0,10.62,8.49,2.99,568.63,3.0,39.0,0.15,567.2783,4.0,3.0,2.0,-0.66,91.0,6.0231
413.51,5.25,4.0,3.0,86.46,6.0,1.0,6.57,3.98,3.92,413.51,5.0,30.0,0.36,413.131,6.0,3.0,1.0,-1.37,92.0,6.11975
